epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.575,1.45969,3.74542,1.82241,0.31642,0.35274,0.27291,0.13243,1.80095,2.68935,2.27694,0.0033287,0.0033287,0.0033287
2,203.161,1.51266,2.9675,1.82671,0.32671,0.33508,0.2824,0.11868,2.05045,2.61037,2.54499,0.00659608,0.00659608,0.00659608
3,285.52,1.57768,2.84188,1.88445,0.40285,0.30081,0.28361,0.13108,1.89201,2.82511,2.46811,0.00979746,0.00979746,0.00979746
4,367.423,1.609,2.74309,1.92191,0.33518,0.30365,0.29062,0.13796,1.83296,2.75281,2.40405,0.009703,0.009703,0.009703
5,448.715,1.57431,2.51335,1.88676,0.4783,0.43929,0.43762,0.20482,1.88135,2.14624,2.46254,0.009604,0.009604,0.009604
6,530.818,1.54891,2.37587,1.85238,0.44885,0.41198,0.41521,0.21693,1.78582,2.17174,2.2961,0.009505,0.009505,0.009505
7,612.922,1.52599,2.2505,1.82824,0.58888,0.49226,0.52557,0.26666,1.76526,1.87183,2.29999,0.009406,0.009406,0.009406
8,693.905,1.49858,2.15625,1.80418,0.58268,0.51567,0.54654,0.30277,1.66948,1.77115,2.21458,0.009307,0.009307,0.009307
9,775.953,1.48228,2.08122,1.78283,0.61843,0.57952,0.58405,0.31896,1.67012,1.66202,2.165,0.009208,0.009208,0.009208
10,858.183,1.4639,2.00329,1.774,0.66118,0.56822,0.58299,0.32377,1.60642,1.62809,2.13049,0.009109,0.009109,0.009109
11,939.908,1.452,1.95183,1.75233,0.60218,0.59115,0.59459,0.32942,1.61596,1.57984,2.15342,0.00901,0.00901,0.00901
12,1021.73,1.45042,1.91214,1.75338,0.70024,0.55804,0.61131,0.32711,1.64822,1.57505,2.13522,0.008911,0.008911,0.008911
13,1103.76,1.42599,1.85624,1.73507,0.70897,0.6128,0.65806,0.3648,1.57903,1.43328,2.07173,0.008812,0.008812,0.008812
14,1186.13,1.4127,1.80425,1.72082,0.70935,0.57917,0.63292,0.36035,1.57526,1.4721,2.09376,0.008713,0.008713,0.008713
15,1267.88,1.41012,1.76979,1.71421,0.704,0.61755,0.65805,0.37159,1.58757,1.42531,2.07696,0.008614,0.008614,0.008614
16,1349.97,1.39205,1.72852,1.70365,0.70496,0.62454,0.66895,0.37902,1.56422,1.37089,2.06601,0.008515,0.008515,0.008515
17,1432.19,1.38982,1.70365,1.70155,0.70948,0.60976,0.64783,0.36929,1.53997,1.43312,2.03203,0.008416,0.008416,0.008416
18,1514.26,1.38298,1.6705,1.68699,0.74477,0.61317,0.67384,0.39286,1.54154,1.3103,2.0176,0.008317,0.008317,0.008317
19,1596.68,1.37542,1.65044,1.69009,0.76432,0.63909,0.6898,0.39884,1.53435,1.29537,2.01717,0.008218,0.008218,0.008218
20,1677.85,1.36825,1.62932,1.68338,0.7938,0.62515,0.69344,0.41247,1.52244,1.28693,2.00392,0.008119,0.008119,0.008119
21,1759.93,1.35929,1.59457,1.67043,0.73405,0.64379,0.70097,0.40985,1.53716,1.22789,2.01939,0.00802,0.00802,0.00802
22,1841.68,1.3554,1.57648,1.6674,0.76282,0.65588,0.70058,0.41026,1.51614,1.23934,2.00212,0.007921,0.007921,0.007921
23,1923.23,1.34316,1.54837,1.659,0.77999,0.66462,0.71133,0.41549,1.5166,1.23785,2.00084,0.007822,0.007822,0.007822
24,2004.71,1.33805,1.53581,1.66127,0.76746,0.64275,0.70524,0.41068,1.50278,1.24183,1.98281,0.007723,0.007723,0.007723
25,2086.75,1.33937,1.50689,1.65317,0.81469,0.6615,0.72874,0.42341,1.53206,1.18456,2.01527,0.007624,0.007624,0.007624
26,2168.46,1.32157,1.48288,1.63831,0.80001,0.65136,0.71642,0.42168,1.51599,1.20471,2.00392,0.007525,0.007525,0.007525
